UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 12, ordered date: Wed Aug 09 14:26:13 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 14:26:13 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:10:44 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:10:44 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:10:44 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:15:07 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:15:07 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:15:07 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:16:44 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:16:44 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:16:44 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:37:00 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:37:00 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:37:00 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:37:44 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:37:44 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:37:44 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:38:21 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:38:21 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:38:21 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:38:51 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:38:51 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:38:51 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:39:20 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:39:20 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:39:20 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:40:09 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:40:09 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:40:09 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:41:57 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:41:57 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:41:57 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:42:27 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:42:27 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:42:27 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:48:11 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:48:11 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:48:11 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:49:28 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:49:28 EDT 2017
UPC: 123UPC, name: wee, cost: $2.00, order amount: 11, ordered date: Wed Aug 09 21:49:28 EDT 2017
UPC: 0000001002, name: Eggs (dozen), cost: $2.20, order amount: 40, ordered date: Wed Aug 09 21:51:42 EDT 2017
UPC: 0000001004, name: Grapefruit, cost: $0.60, order amount: 40, ordered date: Wed Aug 09 21:51:42 EDT 2017
